DecimalDate,Year,Month,Average,Interpolated,Trend,Days
1958.208,1958,3,315.71,315.71,314.62,-1
1958.292,1958,4,317.45,317.45,315.29,-1
1958.375,1958,5,317.5,317.5,314.71,-1
1958.458,1958,6,-99.99,317.1,314.85,-1
1958.542,1958,7,315.86,315.86,314.98,-1
1958.625,1958,8,314.93,314.93,315.94,-1
1958.708,1958,9,313.2,313.2,315.91,-1
1958.792,1958,10,-99.99,312.66,315.61,-1
1958.875,1958,11,313.33,313.33,315.31,-1
1958.958,1958,12,314.67,314.67,315.61,-1
1959.042,1959,1,315.62,315.62,315.7,-1
1959.125,1959,2,316.38,316.38,315.88,-1
1959.208,1959,3,316.71,316.71,315.62,-1
1959.292,1959,4,317.72,317.72,315.56,-1
1959.375,1959,5,318.29,318.29,315.5,-1
1959.458,1959,6,318.15,318.15,315.92,-1
1959.542,1959,7,316.54,316.54,315.66,-1
1959.625,1959,8,314.8,314.8,315.81,-1
1959.708,1959,9,313.84,313.84,316.55,-1
1959.792,1959,10,313.26,313.26,316.19,-1
1959.875,1959,11,314.8,314.8,316.78,-1
1959.958,1959,12,315.58,315.58,316.52,-1
1960.042,1960,1,316.43,316.43,316.51,-1
1960.125,1960,2,316.97,316.97,316.47,-1
1960.208,1960,3,317.58,317.58,316.49,-1
1960.292,1960,4,319.02,319.02,316.86,-1
1960.375,1960,5,320.03,320.03,317.24,-1
1960.458,1960,6,319.59,319.59,317.36,-1
1960.542,1960,7,318.18,318.18,317.3,-1
1960.625,1960,8,315.91,315.91,316.92,-1
1960.708,1960,9,314.16,314.16,316.87,-1
1960.792,1960,10,313.83,313.83,316.76,-1
1960.875,1960,11,315,315,316.98,-1
1960.958,1960,12,316.19,316.19,317.13,-1
1961.042,1961,1,316.93,316.93,317.03,-1
1961.125,1961,2,317.7,317.7,317.28,-1
1961.208,1961,3,318.54,318.54,317.47,-1
1961.292,1961,4,319.48,319.48,317.27,-1
1961.375,1961,5,320.58,320.58,317.7,-1
1961.458,1961,6,319.77,319.77,317.48,-1
1961.542,1961,7,318.57,318.57,317.7,-1
1961.625,1961,8,316.79,316.79,317.8,-1
1961.708,1961,9,314.8,314.8,317.49,-1
1961.792,1961,10,315.38,315.38,318.35,-1
1961.875,1961,11,316.1,316.1,318.13,-1
1961.958,1961,12,317.01,317.01,317.94,-1
1962.042,1962,1,317.94,317.94,318.06,-1
1962.125,1962,2,318.56,318.56,318.11,-1
1962.208,1962,3,319.68,319.68,318.57,-1
1962.292,1962,4,320.63,320.63,318.45,-1
1962.375,1962,5,321.01,321.01,318.2,-1
1962.458,1962,6,320.55,320.55,318.27,-1
1962.542,1962,7,319.58,319.58,318.67,-1
1962.625,1962,8,317.4,317.4,318.48,-1
1962.708,1962,9,316.26,316.26,319.03,-1
1962.792,1962,10,315.42,315.42,318.33,-1
1962.875,1962,11,316.69,316.69,318.62,-1
1962.958,1962,12,317.69,317.69,318.61,-1
1963.042,1963,1,318.74,318.74,318.91,-1
1963.125,1963,2,319.08,319.08,318.68,-1
1963.208,1963,3,319.86,319.86,318.69,-1
1963.292,1963,4,321.39,321.39,319.09,-1
1963.375,1963,5,322.25,322.25,319.39,-1
1963.458,1963,6,321.47,321.47,319.16,-1
1963.542,1963,7,319.74,319.74,318.77,-1
1963.625,1963,8,317.77,317.77,318.83,-1
1963.708,1963,9,316.21,316.21,319.06,-1
1963.792,1963,10,315.99,315.99,319,-1
1963.875,1963,11,317.12,317.12,319.1,-1
1963.958,1963,12,318.31,318.31,319.25,-1
1964.042,1964,1,319.57,319.57,319.67,-1
1964.125,1964,2,-99.99,320.07,319.61,-1
1964.208,1964,3,-99.99,320.73,319.55,-1
1964.292,1964,4,-99.99,321.77,319.48,-1
1964.375,1964,5,322.25,322.25,319.42,-1
1964.458,1964,6,321.89,321.89,319.69,-1
1964.542,1964,7,320.44,320.44,319.58,-1
1964.625,1964,8,318.7,318.7,319.81,-1
1964.708,1964,9,316.7,316.7,319.56,-1
1964.792,1964,10,316.79,316.79,319.78,-1
1964.875,1964,11,317.79,317.79,319.72,-1
1964.958,1964,12,318.71,318.71,319.59,-1
1965.042,1965,1,319.44,319.44,319.48,-1
1965.125,1965,2,320.44,320.44,319.97,-1
1965.208,1965,3,320.89,320.89,319.65,-1
1965.292,1965,4,322.13,322.13,319.8,-1
1965.375,1965,5,322.16,322.16,319.36,-1
1965.458,1965,6,321.87,321.87,319.65,-1
